role,case_id,sweep,level,stress,geometry_seed,sensor_seed,process_seed,method,expected_frame_count
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G2099270786_S513591578_P1592645163,observation,O4,coherent_subhuber_slip,2099270786,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G2099270786_S513591578_P1592645163,observation,O4,gross_outlier_control,2099270786,513591578,1592645163,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G2099270786_S513591578_P1592645163,open_control,OC,clean,2099270786,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G2099270786_S513591578_P631534438,geometry,L3,clean,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G2099270786_S513591578_P631534438,geometry,L3,coherent_subhuber_slip,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G2099270786_S513591578_P631534438,geometry,L3,gross_outlier_control,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G2099270786_S513591578_P631534438,geometry,L4,clean,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G2099270786_S513591578_P631534438,geometry,L4,coherent_subhuber_slip,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G2099270786_S513591578_P631534438,geometry,L4,gross_outlier_control,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_clean_G2099270786_S513591578_P631534438,observation,O3,clean,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G2099270786_S513591578_P631534438,observation,O3,coherent_subhuber_slip,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G2099270786_S513591578_P631534438,observation,O3,gross_outlier_control,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_clean_G2099270786_S513591578_P631534438,observation,O4,clean,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G2099270786_S513591578_P631534438,observation,O4,coherent_subhuber_slip,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G2099270786_S513591578_P631534438,observation,O4,gross_outlier_control,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G2099270786_S513591578_P631534438,open_control,OC,clean,2099270786,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G148529353_S442833702_P1592645163,geometry,L3,clean,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G148529353_S442833702_P1592645163,geometry,L3,coherent_subhuber_slip,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G148529353_S442833702_P1592645163,geometry,L3,gross_outlier_control,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G148529353_S442833702_P1592645163,geometry,L4,clean,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G148529353_S442833702_P1592645163,geometry,L4,coherent_subhuber_slip,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G148529353_S442833702_P1592645163,geometry,L4,gross_outlier_control,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_clean_G148529353_S442833702_P1592645163,observation,O3,clean,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G148529353_S442833702_P1592645163,observation,O3,coherent_subhuber_slip,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G148529353_S442833702_P1592645163,observation,O3,gross_outlier_control,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_clean_G148529353_S442833702_P1592645163,observation,O4,clean,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G148529353_S442833702_P1592645163,observation,O4,coherent_subhuber_slip,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G148529353_S442833702_P1592645163,observation,O4,gross_outlier_control,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G148529353_S442833702_P1592645163,open_control,OC,clean,148529353,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G148529353_S442833702_P631534438,geometry,L3,clean,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G148529353_S442833702_P631534438,geometry,L3,coherent_subhuber_slip,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G148529353_S442833702_P631534438,geometry,L3,gross_outlier_control,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G148529353_S442833702_P631534438,geometry,L4,clean,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G148529353_S442833702_P631534438,geometry,L4,coherent_subhuber_slip,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G148529353_S442833702_P631534438,geometry,L4,gross_outlier_control,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_clean_G148529353_S442833702_P631534438,observation,O3,clean,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G148529353_S442833702_P631534438,observation,O3,coherent_subhuber_slip,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G148529353_S442833702_P631534438,observation,O3,gross_outlier_control,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_clean_G148529353_S442833702_P631534438,observation,O4,clean,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G148529353_S442833702_P631534438,observation,O4,coherent_subhuber_slip,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G148529353_S442833702_P631534438,observation,O4,gross_outlier_control,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G148529353_S442833702_P631534438,open_control,OC,clean,148529353,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G148529353_S513591578_P1592645163,geometry,L3,clean,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G148529353_S513591578_P1592645163,geometry,L3,coherent_subhuber_slip,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G148529353_S513591578_P1592645163,geometry,L3,gross_outlier_control,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G148529353_S513591578_P1592645163,geometry,L4,clean,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G148529353_S513591578_P1592645163,geometry,L4,coherent_subhuber_slip,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G148529353_S513591578_P1592645163,geometry,L4,gross_outlier_control,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_clean_G148529353_S513591578_P1592645163,observation,O3,clean,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G148529353_S513591578_P1592645163,observation,O3,coherent_subhuber_slip,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G148529353_S513591578_P1592645163,observation,O3,gross_outlier_control,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_clean_G148529353_S513591578_P1592645163,observation,O4,clean,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G148529353_S513591578_P1592645163,observation,O4,coherent_subhuber_slip,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G148529353_S513591578_P1592645163,observation,O4,gross_outlier_control,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G148529353_S513591578_P1592645163,open_control,OC,clean,148529353,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G148529353_S513591578_P631534438,geometry,L3,clean,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G148529353_S513591578_P631534438,geometry,L3,coherent_subhuber_slip,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G148529353_S513591578_P631534438,geometry,L3,gross_outlier_control,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G148529353_S513591578_P631534438,geometry,L4,clean,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G148529353_S513591578_P631534438,geometry,L4,coherent_subhuber_slip,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G148529353_S513591578_P631534438,geometry,L4,gross_outlier_control,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_clean_G148529353_S513591578_P631534438,observation,O3,clean,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G148529353_S513591578_P631534438,observation,O3,coherent_subhuber_slip,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G148529353_S513591578_P631534438,observation,O3,gross_outlier_control,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_clean_G148529353_S513591578_P631534438,observation,O4,clean,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G148529353_S513591578_P631534438,observation,O4,coherent_subhuber_slip,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G148529353_S513591578_P631534438,observation,O4,gross_outlier_control,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G148529353_S513591578_P631534438,open_control,OC,clean,148529353,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G1697711877_S442833702_P1592645163,geometry,L3,clean,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G1697711877_S442833702_P1592645163,geometry,L3,coherent_subhuber_slip,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G1697711877_S442833702_P1592645163,geometry,L3,gross_outlier_control,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G1697711877_S442833702_P1592645163,geometry,L4,clean,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G1697711877_S442833702_P1592645163,geometry,L4,coherent_subhuber_slip,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G1697711877_S442833702_P1592645163,geometry,L4,gross_outlier_control,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_clean_G1697711877_S442833702_P1592645163,observation,O3,clean,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G1697711877_S442833702_P1592645163,observation,O3,coherent_subhuber_slip,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G1697711877_S442833702_P1592645163,observation,O3,gross_outlier_control,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_clean_G1697711877_S442833702_P1592645163,observation,O4,clean,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G1697711877_S442833702_P1592645163,observation,O4,coherent_subhuber_slip,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G1697711877_S442833702_P1592645163,observation,O4,gross_outlier_control,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G1697711877_S442833702_P1592645163,open_control,OC,clean,1697711877,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G1697711877_S442833702_P631534438,geometry,L3,clean,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G1697711877_S442833702_P631534438,geometry,L3,coherent_subhuber_slip,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G1697711877_S442833702_P631534438,geometry,L3,gross_outlier_control,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G1697711877_S442833702_P631534438,geometry,L4,clean,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G1697711877_S442833702_P631534438,geometry,L4,coherent_subhuber_slip,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G1697711877_S442833702_P631534438,geometry,L4,gross_outlier_control,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_clean_G1697711877_S442833702_P631534438,observation,O3,clean,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G1697711877_S442833702_P631534438,observation,O3,coherent_subhuber_slip,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G1697711877_S442833702_P631534438,observation,O3,gross_outlier_control,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_clean_G1697711877_S442833702_P631534438,observation,O4,clean,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G1697711877_S442833702_P631534438,observation,O4,coherent_subhuber_slip,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G1697711877_S442833702_P631534438,observation,O4,gross_outlier_control,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G1697711877_S442833702_P631534438,open_control,OC,clean,1697711877,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G1697711877_S513591578_P1592645163,geometry,L3,clean,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G1697711877_S513591578_P1592645163,geometry,L3,coherent_subhuber_slip,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G1697711877_S513591578_P1592645163,geometry,L3,gross_outlier_control,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G1697711877_S513591578_P1592645163,geometry,L4,clean,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G1697711877_S513591578_P1592645163,geometry,L4,coherent_subhuber_slip,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G1697711877_S513591578_P1592645163,geometry,L4,gross_outlier_control,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_clean_G1697711877_S513591578_P1592645163,observation,O3,clean,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G1697711877_S513591578_P1592645163,observation,O3,coherent_subhuber_slip,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G1697711877_S513591578_P1592645163,observation,O3,gross_outlier_control,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_clean_G1697711877_S513591578_P1592645163,observation,O4,clean,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G1697711877_S513591578_P1592645163,observation,O4,coherent_subhuber_slip,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G1697711877_S513591578_P1592645163,observation,O4,gross_outlier_control,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G1697711877_S513591578_P1592645163,open_control,OC,clean,1697711877,513591578,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G1697711877_S513591578_P631534438,geometry,L3,clean,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G1697711877_S513591578_P631534438,geometry,L3,coherent_subhuber_slip,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G1697711877_S513591578_P631534438,geometry,L3,gross_outlier_control,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G1697711877_S513591578_P631534438,geometry,L4,clean,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G1697711877_S513591578_P631534438,geometry,L4,coherent_subhuber_slip,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G1697711877_S513591578_P631534438,geometry,L4,gross_outlier_control,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_clean_G1697711877_S513591578_P631534438,observation,O3,clean,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G1697711877_S513591578_P631534438,observation,O3,coherent_subhuber_slip,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G1697711877_S513591578_P631534438,observation,O3,gross_outlier_control,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_clean_G1697711877_S513591578_P631534438,observation,O4,clean,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G1697711877_S513591578_P631534438,observation,O4,coherent_subhuber_slip,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G1697711877_S513591578_P631534438,observation,O4,gross_outlier_control,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G1697711877_S513591578_P631534438,open_control,OC,clean,1697711877,513591578,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G1765595935_S442833702_P1592645163,geometry,L3,clean,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G1765595935_S442833702_P1592645163,geometry,L3,coherent_subhuber_slip,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G1765595935_S442833702_P1592645163,geometry,L3,gross_outlier_control,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G1765595935_S442833702_P1592645163,geometry,L4,clean,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G1765595935_S442833702_P1592645163,geometry,L4,coherent_subhuber_slip,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G1765595935_S442833702_P1592645163,geometry,L4,gross_outlier_control,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_clean_G1765595935_S442833702_P1592645163,observation,O3,clean,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G1765595935_S442833702_P1592645163,observation,O3,coherent_subhuber_slip,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G1765595935_S442833702_P1592645163,observation,O3,gross_outlier_control,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_clean_G1765595935_S442833702_P1592645163,observation,O4,clean,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G1765595935_S442833702_P1592645163,observation,O4,coherent_subhuber_slip,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G1765595935_S442833702_P1592645163,observation,O4,gross_outlier_control,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G1765595935_S442833702_P1592645163,open_control,OC,clean,1765595935,442833702,1592645163,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G1765595935_S442833702_P631534438,geometry,L3,clean,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_coherent_subhuber_slip_G1765595935_S442833702_P631534438,geometry,L3,coherent_subhuber_slip,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_gross_outlier_control_G1765595935_S442833702_P631534438,geometry,L3,gross_outlier_control,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_clean_G1765595935_S442833702_P631534438,geometry,L4,clean,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_coherent_subhuber_slip_G1765595935_S442833702_P631534438,geometry,L4,coherent_subhuber_slip,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L4_gross_outlier_control_G1765595935_S442833702_P631534438,geometry,L4,gross_outlier_control,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_clean_G1765595935_S442833702_P631534438,observation,O3,clean,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_coherent_subhuber_slip_G1765595935_S442833702_P631534438,observation,O3,coherent_subhuber_slip,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O3_gross_outlier_control_G1765595935_S442833702_P631534438,observation,O3,gross_outlier_control,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_clean_G1765595935_S442833702_P631534438,observation,O4,clean,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_coherent_subhuber_slip_G1765595935_S442833702_P631534438,observation,O4,coherent_subhuber_slip,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_observation_O4_gross_outlier_control_G1765595935_S442833702_P631534438,observation,O4,gross_outlier_control,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_open_control_OC_clean_G1765595935_S442833702_P631534438,open_control,OC,clean,1765595935,442833702,631534438,huber_full,39
calibration,day13_calibration_geometry_L3_clean_G1765595935_S513591578_P1592645163,geometry,L3,clean,1765595935,513591578,1592645163,huber_full,39
